index,trialid,source_register,date_registration,date_enrollement,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,intervention_type,intervention,web_address,results_url_link,last_refreshed_on,first_seen
278,NCT04276688,ClinicalTrials.gov,2020-02-11,2020-02-10,The University of Hong Kong,Recruiting,Phase 2,Interventional,Hong Kong,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment",Drug,Combination: lopinavir/ritonavir + ribavirin + interferon-beta,https://clinicaltrials.gov/show/NCT04276688,No Results,2020-03-09,2020-03-18
279,NCT04252118,ClinicalTrials.gov,2020-01-27,2020-01-27,Beijing 302 Hospital,Recruiting,Phase 1,Interventional,China,Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With 2019 Novel Coronavirus,ATMP,"Cells, mesenchymal",https://clinicaltrials.gov/show/NCT04252118,No Results,2020-03-09,2020-03-18
280,NCT04273763,ClinicalTrials.gov,2020-02-14,2020-02-16,Second Affiliated Hospital of Wenzhou Medical University,Recruiting,Not Applicable,Interventional,China,Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19),Drug,Bromhexine,https://clinicaltrials.gov/show/NCT04273763,No Results,2020-03-09,2020-08-03
281,NCT04276987,ClinicalTrials.gov,2020-02-16,2020-02-15,Ruijin Hospital,Not Recruiting,Phase 1,Interventional,No Country Given,A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia,ATMP,"Cells, mesenchymal",https://clinicaltrials.gov/show/NCT04276987,No Results,2020-03-09,2020-03-18
282,NCT04286503,ClinicalTrials.gov,2020-02-25,2020-02-23,"Beijing You'an Hospital, Capital Medical University",Not Recruiting,Phase 4,Interventional,No Country Given,The Clinical Study of Carrimycin on Treatment Patients With COVID-19,Drug,Carrimycin,https://clinicaltrials.gov/show/NCT04286503,No Results,2020-03-09,2020-08-03
283,ChiCTR2000030581,ChiCTR,2020-03-08,2020-02-02,West China Hospital of Sichuan University,Recruiting,Not Applicable,Observational,China,The immediate psychological impact of novel coronavirus pneumonia (COVID-19) outbreak on medical students in anesthesiology and how the cope,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50394,No Results,2020-03-09,2020-08-03
284,ChiCTR2000030552,ChiCTR,2020-03-07,2020-03-08,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Critical ultrasound in evaluating cardiopulmonary function in critical patients infected with 2019 novel coronavirus pneumonia (COVID-19),Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49708,No Results,2020-03-09,2020-08-03
285,ChiCTR2000030574,ChiCTR,2020-03-07,2020-03-08,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Research on peripheral immunity function monitoring and its clinical application in patients with novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49953,No Results,2020-03-09,2020-08-03
286,ChiCTR2000030556,ChiCTR,2020-03-07,2020-03-15,Anhui Cancer Hospital,Not Recruiting,Not Applicable,Diagnostic test,China,Clinical study of nano-nose and its extended technology in diagnosis of novel coronavirus pneumonia (COVID-19),Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50672,No Results,2020-03-09,2020-08-03
287,ChiCTR2000030535,ChiCTR,2020-03-06,2020-02-20,Wuhan Red Cross Hospital,Recruiting,Phase 4,Interventional,China,Multi-Center Clinical Study on the Treatment of Patients with Novel Coronavirus Pneumonia (COVID-19) by Ebastine,Drug,Ebastine,http://www.chictr.org.cn/showproj.aspx?proj=49790,No Results,2020-03-09,2020-08-03
288,ChiCTR2000030522,ChiCTR,2020-03-06,2020-03-09,Affiliated Hospital of Chengdu University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Efficacy and safety of Ma-Xing-Gan-Shi decoction in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=44213,No Results,2020-03-09,2020-08-03
289,ChiCTR2000030593,ChiCTR,2020-03-08,2020-03-10,The First Affiliated Hospital of Zhengzhou University,Not Recruiting,Not Applicable,Observational,China,"Novel coronavirus pneumonia (COVID-19) antiviral related liver dysfunction: a multicenter, retrospective, observational study",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50228,No Results,2020-03-09,2020-08-03
290,ChiCTR2000030559,ChiCTR,2020-03-07,2020-03-07,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Observational,China,A medical records based study for the safety of artificial liver cluster nursing in critically ill patients with novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50583,No Results,2020-03-09,2020-08-03
291,ChiCTR2000030542,ChiCTR,2020-03-06,2020-03-09,West China Hospital of Sichuan University,Recruiting,Not Applicable,Observational,China,"A clinical study about the diagnosis and prognosis evaluation of novel coronacirus pneumonia (COVID-19) based on viral genome, host genomic sequencing, relative cytokines and other laboratory indexes.",Genomics,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50608,No Results,2020-03-09,2020-08-03
292,ChiCTR2000030540,ChiCTR,2020-03-06,2020-03-08,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Interventional,China,Research for the mechanism of improvement of novel coronavirus pneumonia (COVID-19) patients' pulmonary exudation by continuous renal replacement therapy,Other (renal),Renal replacement therapy,http://www.chictr.org.cn/showproj.aspx?proj=50658,No Results,2020-03-09,2020-08-03
293,ChiCTR2000030557,ChiCTR,2020-03-07,2020-03-10,The Third Affiliated Hospital of the Second Military Medical University,Recruiting,Not Applicable,Observational,China,"A retrospective study on virus typing, Hematological Immunology and case Review of novel coronavirus infected and convalescent patients (COVID-19)",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50667,No Results,2020-03-09,2020-08-03
294,ChiCTR2000030543,ChiCTR,2020-03-06,2020-02-14,Central Theater General Hospital of PLA,Recruiting,Not Applicable,Observational,China,Detection of coronavirus in simultaneously collecting tears and throat swab samples collected from the patients with novel coronavirus pneumonia (COVID-19),Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50541,No Results,2020-03-09,2020-08-03
295,NCT04281693,ClinicalTrials.gov,2020-02-20,2020-02-01,Affiliated Hospital to Academy of Military Medical Sciences,Not Recruiting,Not Applicable,Interventional,China,A New Screening Strategy for 2019 Novel Coronavirus Infection,Diagnosis,No Intervention,https://clinicaltrials.gov/show/NCT04281693,No Results,2020-03-09,2020-03-18
296,NCT04282902,ClinicalTrials.gov,2020-02-10,2020-02-04,Huilan Zhang,Recruiting,Phase 3,Interventional,China,A Study to Evaluate the Efficacy and Safety of Pirfenidone With Novel Coronavirus Infection,Drug,Pirfenidone,https://clinicaltrials.gov/show/NCT04282902,No Results,2020-03-09,2020-03-18
297,NCT04284046,ClinicalTrials.gov,2020-02-22,2020-01-31,Shanghai General Hospital of Shanghai Jiaotong University,Not Recruiting,Not Applicable,Observational,China,CT Scores Predict Mortality in 2019-nCoV Pneumonia,Prognosis,No Intervention,https://clinicaltrials.gov/show/NCT04284046,No Results,2020-03-09,2020-03-18
298,NCT04285190,ClinicalTrials.gov,2020-02-19,2020-02-26,"Tasly Pharmaceuticals, Inc.",Not Recruiting,Not Applicable,Interventional,No Country Given,The Effect of T89 on Improving Oxygen Saturation and Clinical Symptoms in Patients With COVID-19,Traditional Medicine (Drug),Traditional Medicine,https://clinicaltrials.gov/show/NCT04285190,No Results,2020-03-09,2020-03-18
299,ChiCTR2000030503,ChiCTR,2020-03-05,2020-01-20,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Extracorporeal blood purification therapy using Li's Artifical Liver System for patients with severe novel coronavirus pneumonia (COVID19) patient,Traditional Medicine (Other),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49632,No Results,2020-03-09,2020-08-03
300,ChiCTR2000030487,ChiCTR,2020-03-04,2020-03-04,The First Affiliated Hospital of He'nan University of Chinese Medicine,Recruiting,Not Applicable,Interventional,China,"A single-center, single-arm clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,http://www.chictr.org.cn/showproj.aspx?proj=50507,No Results,2020-03-09,2020-08-03
301,ChiCTR2000030492,ChiCTR,2020-03-04,2020-03-04,The First Affiliated Hospital of Hu'nan University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Observational,China,Retrospective study for integrate Chinese and conventional medicine  treatment of novel coronavirus pneumonia (COVID-19) in Hu'nan province,Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50549,No Results,2020-03-09,2020-08-03
302,ChiCTR2000030490,ChiCTR,2020-03-04,2020-02-01,Huo-Shen-Shan Hospital,Recruiting,Not Applicable,Interventional,No Country Given,To evaluate the efficacy and safety of diammonium glycyrrhizinate enteric-coated capsules combined with hydrogen-rich water in the treatment of novel coronavirus pneumonia (COVID-19),Drug,Combination: diammonium glycyrrhizinate + hydrogen,http://www.chictr.org.cn/showproj.aspx?proj=50487,No Results,2020-03-09,2020-08-03
303,ChiCTR2000030627,ChiCTR,2020-03-08,2020-02-01,The First Affiliated Hospital of Zhengzhou University,Recruiting,Not Applicable,Interventional,China,Study for using the healed novel coronavirus pneumonia (COVID-19) patients plasma in the treatment of severe critical cases,ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=50727,No Results,2020-03-09,2020-08-03
304,ChiCTR2000030579,ChiCTR,2020-03-08,2020-02-15,Shandong Provincial Hospital,Not Recruiting,Not Applicable,Observational,China,Risk Factors for Outcomes of Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50692,No Results,2020-03-09,2020-08-03
305,ChiCTR2000030485,ChiCTR,2020-03-03,2020-03-03,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,Study for timing of mechanical ventilation for critically ill patients with novel coronavirus pneumonia (COVID-19): A medical records based retrospective Cohort study,Other (physical),Mechanical ventilation,http://www.chictr.org.cn/showproj.aspx?proj=50459,No Results,2020-03-09,2020-08-03
306,ChiCTR2000030472,ChiCTR,2020-03-03,2020-02-25,Shenyang Sixth People's Hospital,Recruiting,Not Applicable,Interventional,China,An open and controlled clinical study to evaluate the efficacy and safety of Ganovo combined with ritonavir in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49753,No Results,2020-03-09,2020-08-03
307,ChiCTR2000030541,ChiCTR,2020-03-06,2020-03-06,"Xiamen Medical College,Shijiazhuang Medical College",Not Recruiting,Not Applicable,Observational,China,Novel coronavirus pneumonia (COVID-19) epidemic survey of medical students in various provinces and municipalities throughout the country,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50623,No Results,2020-03-09,2020-08-03
308,ChiCTR2000030518,ChiCTR,2020-03-05,2020-02-29,The Second Affiliated Hospital of Wenzhou Medical University,Recruiting,Not Applicable,Interventional,China,"Zedoary Turmeric Oil for Injection in the treatment of Novel Coronavirus Pneumonia (COVID-19): a randomized, open, controlled trial",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50586,No Results,2020-03-09,2020-08-03
309,ChiCTR2000030481,ChiCTR,2020-03-03,2020-03-01,Zhongnan Hospital of Wuhan University,Recruiting,Phase 4,Interventional,China,The clinical value of corticosteroid therapy timing in the treatment of novel coronavirus pneumonia (COVID-19): a prospective randomized controlled trial,Drug,Corticosteroids,http://www.chictr.org.cn/showproj.aspx?proj=50453,No Results,2020-03-09,2020-08-03
310,ChiCTR2000030467,ChiCTR,2020-03-02,2020-03-01,"Dalian Medical University, Dalian, China.",Not Recruiting,Not Applicable,Interventional,China,A Randomized  Controlled Trial  for the Influence of TCM Psychotherapy on Negative Emotion of Patients with Novel Coronavirus Pneumonia (COVID-19) Based on Network Platform,Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50378,No Results,2020-03-09,2020-08-03
311,ChiCTR2000030471,ChiCTR,2020-03-02,2020-03-02,Maoming People's Hospital,Recruiting,Phase 4,Interventional,China,Efficacy and safety of lipoic acid injection in reducing the risk of progression in common patients with novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50421,No Results,2020-03-09,2020-08-03
312,ChiCTR2000030469,ChiCTR,2020-03-02,2020-02-27,Shanghai University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,A randomized parallel controlled trial for LIUSHENWAN in Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50082,No Results,2020-03-09,2020-08-03
313,ChiCTR2000030578,ChiCTR,2020-03-08,2020-03-07,Shandong Provincial Hospital,Not Recruiting,Not Applicable,Interventional,China,Clinical Prediction and Intervention of Pulmonary Function Impairment in Patients with Novel Coronavirus Pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50690,No Results,2020-03-09,2020-08-03
314,ChiCTR2000030564,ChiCTR,2020-03-07,2020-03-15,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Psychological Intervention of Children with Novel Coronavirus Disease (COVID-19),Other (psych),Psychological,http://www.chictr.org.cn/showproj.aspx?proj=50653,No Results,2020-03-09,2020-08-03
315,ChiCTR2000030491,ChiCTR,2020-03-04,2020-03-03,West China Hospital of Sichuan University,Recruiting,Not Applicable,Observational,China,A medical records based study for Comparing Differences of Clinical Features and Outcomes of Novel Coronavirus Pneumonia (COVID-19) Patients between Sichuan Province and Wuhan City,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50552,No Results,2020-03-09,2020-08-03
316,ChiCTR2000030489,ChiCTR,2020-03-04,2020-02-01,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Epidemiological research,China,Study for the route of ocular surface transmission of novel coronavirus pneumonia (COVID-19) infection and related eye diseases,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50490,No Results,2020-03-09,2020-08-03
317,ChiCTR2000030544,ChiCTR,2020-03-06,2020-02-24,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,Study for the risk factors of critically ill patients with novel coronavirus pneumonia (COVID-19),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50134,No Results,2020-03-09,2020-08-03
318,ChiCTR2000030494,ChiCTR,2020-03-05,2020-03-01,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Early risk stratification of the Novel coronavirus infected diseases (COVID-19): a multicenter retrospective study  (ERS-COVID-19 study),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50077,No Results,2020-03-09,2020-08-03
319,ChiCTR2000030468,ChiCTR,2020-03-02,2020-02-28,Affiliated Hospital of Shandong University of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,Study for the key technique of integrative therapy of Novel Coronavirus Pneumonia (COVID-19): the TCM symptoms and treatment regulation,Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50390,No Results,2020-03-09,2020-08-03
320,ChiCTR2000030453,ChiCTR,2020-03-02,2020-03-02,The First Affiliated Hospital of Wenzhou Medical University,Not Recruiting,Not Applicable,Observational,China,Clinical study for the effects of ACEIs/ARBs on the infection of novel coronavirus pneumonia (CoVID-19),Drug,ACE inhibitors or ARBs,http://www.chictr.org.cn/showproj.aspx?proj=50381,No Results,2020-03-09,2020-08-03
321,ChiCTR2000030484,ChiCTR,2020-03-03,2020-02-02,Hubei Shiyan Taihe hospital,Not Recruiting,Not Applicable,Interventional,China,HUMSCs and Exosomes Treating Patients with Lung Injury following Novel Coronavirus Pneumonia (COVID-19),ATMP,"Cells, mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=50263,No Results,2020-03-09,2020-03-18
322,ChiCTR2000030482,ChiCTR,2020-03-03,2020-03-06,Peking University First Hospital,Not Recruiting,Not Applicable,Observational,China,"A Multicenter, Long- term Follow-up and Registration Study for Myocardial Injury and Prognosis of Novel coronavirus pneumonia (COVID-19)",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50353,No Results,2020-03-09,2020-08-03
323,ChiCTR2000030493,ChiCTR,2020-03-04,2020-03-04,Renmin Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,"Survey for sleep, anxiety and depression status of Chinese residents during the outbreak of novel coronavirus infected disases (COVID-19)",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50547,No Results,2020-03-09,2020-03-18
324,ChiCTR2000030480,ChiCTR,2020-03-03,2020-03-03,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Phase 4,Interventional,China,"Randomized, open, blank controlled trial for the efficacy and safety of recombinant human interferon alpha 1beta in the treatment of Wuhan patients with novel coronavirus pneumonia (COVID-19)",Drug,Interferon alfa,http://www.chictr.org.cn/showproj.aspx?proj=50470,No Results,2020-03-09,2020-08-03
325,ChiCTR2000030475,ChiCTR,2020-03-03,2020-03-04,Chinese Academy of Medical Sciences Peking Union Medical College Hospital,Not Recruiting,Not Applicable,Interventional,China,Cytosorb in Treating Critically Ill Hospitalized Adult Patients with novel coronavirus pneumonia (COVID-19),Other (physical),Extracorporeal blood purification ,http://www.chictr.org.cn/showproj.aspx?proj=50452,No Results,2020-03-09,2020-08-03
326,ChiCTR2000030464,ChiCTR,2020-03-02,2020-03-03,"The Third Xiangya Hospital, Central South University",Recruiting,Not Applicable,Epidemiological research,No Country Given,Study for the clinical characteristics of novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50382,No Results,2020-03-09,2020-08-03
327,ChiCTR2000030304,ChiCTR,2020-02-28,2020-03-10,The Third Affiliated Hospital of Sun Yat-sen University,Not Recruiting,Not Applicable,Observational,China,Protective factors of mental resilience in first-line nurses with novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49653,No Results,2020-03-09,2020-08-03
328,ChiCTR2000030479,ChiCTR,2020-03-03,2020-02-26,Affiliated Hospital of Traditional Chinese and Western Medicine Nanjing University of Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Study for the Effectiveness and Safety of Yi-Qi Hua-shi Jie-Du-Fang in the Treatment of the Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50450,No Results,2020-03-09,2020-08-03
329,ChiCTR2000030477,ChiCTR,2020-03-03,2020-03-04,Chinese Academy of Medical Sciences Peking Union Medical College Hospital,Not Recruiting,Not Applicable,Interventional,China,oXiris Membrane in Treating Critically Ill Hospitalized Adult Patients with novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50458,No Results,2020-03-09,2020-08-03
330,ChiCTR2000030163,ChiCTR,2020-02-24,2020-02-25,Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine,Not Recruiting,Not Applicable,Observational,China,A Medical Based Retrospective Real World Study for Assessment of Effectiveness of Comprehensive Traditional Chinese Medicine in the treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50031,No Results,2020-03-09,2020-08-03
331,ChiCTR2000029993,ChiCTR,2020-02-18,2020-02-20,The First Affiliated Hospital of Guangzhou Medical University,Recruiting,Not Applicable,Interventional,China,A pilot study for Integrated Chinese and Western Medicine in the treatment of non-critical novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49435,No Results,2020-03-09,2020-08-03
332,ChiCTR2000030256,ChiCTR,2020-02-26,2020-02-01,"Daping Hospital,Army Medical University",Recruiting,Not Applicable,Epidemiological research,China,"Epidemiological and clinical characteristics of COVID-19: a large-scale investigation in epicenter Wuhan, China",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50078,No Results,2020-03-09,2020-08-03
333,ChiCTR2000029550,ChiCTR,2020-02-04,2020-01-29,Hospital of Chengdu University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Recommendations for Diagnosis and Treatment of Influenza Patients in the Hospital of Chengdu University of Traditional Chinese Medicine Under the Raging of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48775,No Results,2020-03-09,2020-03-18
334,ChiCTR2000029982,ChiCTR,2020-02-18,2020-02-18,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Study for using multiomics in the diagnosis and treatment of novel coronavirus pneumonia (COVID-19),Genomics,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49724,No Results,2020-03-09,2020-08-03
335,ChiCTR2000029580,ChiCTR,2020-02-05,2020-01-31,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,"Severe novel coronavirus pneumonia (COVID-19) patients treated with ruxolitinib in combination with mesenchymal stem cells: a prospective, single blind, randomized controlled clinical trial",Drug (+ATMP),Ruxolimab [+ mesenchymal stem cells],http://www.chictr.org.cn/showproj.aspx?proj=49088,No Results,2020-03-09,2020-08-03
336,ChiCTR2000029638,ChiCTR,2020-02-08,2020-02-03,West China Hospital of Sichuan University,Recruiting,Not Applicable,Interventional,China,"A Multicenter, Randomized, Controlled trial for Recombinant Super-Compound Interferon (rSIFN-co) in the Treatment of 2019 Novel Coronavirus (2019-nCoV) Infected Pneumonia",Drug,Interferon,http://www.chictr.org.cn/showproj.aspx?proj=49224,No Results,2020-03-09,2020-08-03
337,ChiCTR2000029579,ChiCTR,2020-02-05,2020-01-31,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,The investigation of cytokine expression profile of novel coronavirus pneumonia (COVID-19) and its clinical significance,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49045,No Results,2020-03-09,2020-08-03
338,ChiCTR2000030436,ChiCTR,2020-03-01,2020-03-06,Shanghai Sixth People's Hospital,Not Recruiting,Not Applicable,Observational,China,Application of flash glucose monitoring to evaluate the effect of blood glucose changes on prognosis in patients with novel coronavirus pneumonia (COVID-19),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50297,No Results,2020-03-09,2020-08-03
339,ChiCTR2000029958,ChiCTR,2020-02-17,2020-02-17,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,A medical records based study for the clinical characteristics of anesthesia novel coronavirus pneumonia (COVID-19) patients during perioperative period and assessment of infection and mental health of Anesthesiology Department,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49635,No Results,2020-03-09,2020-08-03
340,ChiCTR2000029549,ChiCTR,2020-02-04,2020-02-03,Hospital of Chengdu University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Recommendations of Integrated Traditional Chinese and Western Medicine for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49014,No Results,2020-03-09,2020-08-03
341,ChiCTR2000029479,ChiCTR,2020-02-02,2020-01-30,Hospital of Chengdu University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Research for Traditional Chinese Medicine Technology Prevention and Control of Novel Coronavirus Pneumonia (COVID-19) in the Community Population,Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48773,No Results,2020-03-09,2020-08-03
342,ChiCTR2000029433,ChiCTR,2020-02-01,2020-02-01,Hebei Yiling Hospital; Renmin Hospital of Wuhan University,Not Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled trial for Lian-Hua Qing-Wen Capsule/Granule in the treatment of suspected novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48898,No Results,2020-03-09,2020-08-03
343,ChiCTR2000029308,ChiCTR,2020-01-23,2020-01-10,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Interventional,China,"A randomized, controlled open-label trial to evaluate the efficacy and safety of lopinavir-ritonavir in hospitalized patients with novel coronavirus pneumonia (COVID-19)",Drug,Lopinavir-Ritonavir,http://www.chictr.org.cn/showproj.aspx?proj=48684,No Results,2020-03-09,2020-08-03
344,ChiCTR2000029434,ChiCTR,2020-02-01,2020-02-01,Hebei Yiling Hospital; Renmin Hospital of Wuhan University,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled trial for Lian-Hua Qing-Wen Capsule /Granule in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48889,No Results,2020-03-09,2020-03-18
345,NCT04288713,ClinicalTrials.gov,2020-02-27,2020-03-01,Hudson Medical,Not Recruiting,Phase 2,Expanded Access,No Country Given,Eculizumab (Soliris) in Covid-19 Infected Patients,Drug,Eculizumab,https://clinicaltrials.gov/show/NCT04288713,No Results,2020-03-16,2020-08-03
346,ChiCTR2000029757,ChiCTR,2020-02-12,2020-02-14,China-Japan Friendship Hospital,Recruiting,Not Applicable,Interventional,China,Convalescent plasma for the treatment of severe and critical novel coronavirus pneumonia (COVID-19): a prospective randomized controlled trial,ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=49081,No Results,2020-03-09,2020-08-03
347,NCT04261517,ClinicalTrials.gov,2020-02-06,2020-02-06,Shanghai Public Health Clinical Center,Recruiting,Phase 3,Interventional,China,Efficacy and Safety of Hydroxychloroquine for Treatment of Pneumonia Caused by 2019-nCoV ( HC-nCoV ),Drug,Hydroxychloroquine,https://clinicaltrials.gov/show/NCT04261517,No Results,2020-03-16,2020-08-03
348,NCT04252274,ClinicalTrials.gov,2020-01-29,2020-01-30,Shanghai Public Health Clinical Center,Recruiting,Phase 3,Interventional,China,Efficacy and Safety of Darunavir and Cobicistat for Treatment of Pneumonia Caused by 2019-nCoV,Drug,Darunavir/cobicistat,https://clinicaltrials.gov/show/NCT04252274,No Results,2020-03-16,2020-08-03
349,ChiCTR2000030896,ChiCTR,2020-03-16,2020-02-06,Zhengzhou People's Hospital,Recruiting,Not Applicable,Interventional,China,Clinical Application and Theoretical Discussion of Fu-Zheng Qing-Fei Thought in Treating Non-Critical Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=51028,No Results,2020-03-16,2020-03-18
