,trialid,registry,registration_date,enrollment_date,sponsors,recruitment_status,phase,study_type,countries,title,intervention_type,intervention,data_source,results_link,last_refreshed_on,first_seen
301,chictr2000030492,chictr,2020-03-04,2020-03-04,the first affiliated hospital of hu'nan university of traditional chinese medicine,not recruiting,not applicable,observational,china,retrospective study for integrate chinese and conventional medicine  treatment of novel coronavirus pneumonia (covid-19) in hu'nan province,traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50549,no results,2020-03-09,2020-08-03
302,chictr2000030490,chictr,2020-03-04,2020-02-01,huo-shen-shan hospital,recruiting,not applicable,interventional,no country given,to evaluate the efficacy and safety of diammonium glycyrrhizinate enteric-coated capsules combined with hydrogen-rich water in the treatment of novel coronavirus pneumonia (covid-19),drug,combination: diammonium glycyrrhizinate + hydrogen,http://www.chictr.org.cn/showproj.aspx?proj=50487,no results,2020-03-09,2020-08-03
303,chictr2000030627,chictr,2020-03-08,2020-02-01,the first affiliated hospital of zhengzhou university,recruiting,not applicable,interventional,china,study for using the healed novel coronavirus pneumonia (covid-19) patients plasma in the treatment of severe critical cases,atmp,plasma,http://www.chictr.org.cn/showproj.aspx?proj=50727,no results,2020-03-09,2020-08-03
304,chictr2000030579,chictr,2020-03-08,2020-02-15,shandong provincial hospital,not recruiting,not applicable,observational,china,risk factors for outcomes of novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50692,no results,2020-03-09,2020-08-03
305,chictr2000030485,chictr,2020-03-03,2020-03-03,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,observational,china,study for timing of mechanical ventilation for critically ill patients with novel coronavirus pneumonia (covid-19): a medical records based retrospective cohort study,other (physical),mechanical ventilation,http://www.chictr.org.cn/showproj.aspx?proj=50459,no results,2020-03-09,2020-08-03
306,chictr2000030472,chictr,2020-03-03,2020-02-25,shenyang sixth people's hospital,recruiting,not applicable,interventional,china,an open and controlled clinical study to evaluate the efficacy and safety of ganovo combined with ritonavir in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49753,no results,2020-03-09,2020-08-03
307,chictr2000030541,chictr,2020-03-06,2020-03-06,"xiamen medical college,shijiazhuang medical college",not recruiting,not applicable,observational,china,novel coronavirus pneumonia (covid-19) epidemic survey of medical students in various provinces and municipalities throughout the country,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50623,no results,2020-03-09,2020-08-03
308,chictr2000030518,chictr,2020-03-05,2020-02-29,the second affiliated hospital of wenzhou medical university,recruiting,not applicable,interventional,china,"zedoary turmeric oil for injection in the treatment of novel coronavirus pneumonia (covid-19): a randomized,open,controlled trial",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50586,no results,2020-03-09,2020-08-03
309,chictr2000030481,chictr,2020-03-03,2020-03-01,zhongnan hospital of wuhan university,recruiting,phase 4,interventional,china,the clinical value of corticosteroid therapy timing in the treatment of novel coronavirus pneumonia (covid-19): a prospective randomized controlled trial,drug,corticosteroids,http://www.chictr.org.cn/showproj.aspx?proj=50453,no results,2020-03-09,2020-08-03
310,chictr2000030467,chictr,2020-03-02,2020-03-01,"dalian medical university,dalian,china.",not recruiting,not applicable,interventional,china,a randomized  controlled trial  for the influence of tcm psychotherapy on negative emotion of patients with novel coronavirus pneumonia (covid-19) based on network platform,traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50378,no results,2020-03-09,2020-08-03
311,chictr2000030471,chictr,2020-03-02,2020-03-02,maoming people's hospital,recruiting,phase 4,interventional,china,efficacy and safety of lipoic acid injection in reducing the risk of progression in common patients with novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50421,no results,2020-03-09,2020-08-03
312,chictr2000030469,chictr,2020-03-02,2020-02-27,shanghai university of traditional chinese medicine,recruiting,not applicable,interventional,china,a randomized parallel controlled trial for liushenwan in treatment of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50082,no results,2020-03-09,2020-08-03
313,chictr2000030578,chictr,2020-03-08,2020-03-07,shandong provincial hospital,not recruiting,not applicable,interventional,china,clinical prediction and intervention of pulmonary function impairment in patients with novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50690,no results,2020-03-09,2020-08-03
314,chictr2000030564,chictr,2020-03-07,2020-03-15,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,psychological intervention of children with novel coronavirus disease (covid-19),other (psych),psychological,http://www.chictr.org.cn/showproj.aspx?proj=50653,no results,2020-03-09,2020-08-03
315,chictr2000030491,chictr,2020-03-04,2020-03-03,west china hospital of sichuan university,recruiting,not applicable,observational,china,a medical records based study for comparing differences of clinical features and outcomes of novel coronavirus pneumonia (covid-19) patients between sichuan province and wuhan city,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50552,no results,2020-03-09,2020-08-03
316,chictr2000030489,chictr,2020-03-04,2020-02-01,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,epidemiological research,china,study for the route of ocular surface transmission of novel coronavirus pneumonia (covid-19) infection and related eye diseases,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50490,no results,2020-03-09,2020-08-03
317,chictr2000030544,chictr,2020-03-06,2020-02-24,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,observational,china,study for the risk factors of critically ill patients with novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50134,no results,2020-03-09,2020-08-03
318,chictr2000030494,chictr,2020-03-05,2020-03-01,west china hospital of sichuan university,not recruiting,not applicable,observational,china,early risk stratification of the novel coronavirus infected diseases (covid-19): a multicenter retrospective study  (ers-covid-19 study),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50077,no results,2020-03-09,2020-08-03
319,chictr2000030468,chictr,2020-03-02,2020-02-28,affiliated hospital of shandong university of traditional chinese medicine,recruiting,not applicable,observational,china,study for the key technique of integrative therapy of novel coronavirus pneumonia (covid-19): the tcm symptoms and treatment regulation,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50390,no results,2020-03-09,2020-08-03
320,chictr2000030453,chictr,2020-03-02,2020-03-02,the first affiliated hospital of wenzhou medical university,not recruiting,not applicable,observational,china,clinical study for the effects of aceis/arbs on the infection of novel coronavirus pneumonia (covid-19),drug,ace inhibitors or arbs,http://www.chictr.org.cn/showproj.aspx?proj=50381,no results,2020-03-09,2020-08-03
321,chictr2000030484,chictr,2020-03-03,2020-02-02,hubei shiyan taihe hospital,not recruiting,not applicable,interventional,china,humscs and exosomes treating patients with lung injury following novel coronavirus pneumonia (covid-19),atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=50263,no results,2020-03-09,2020-03-18
322,chictr2000030482,chictr,2020-03-03,2020-03-06,peking university first hospital,not recruiting,not applicable,observational,china,"a multicenter,long- term follow-up and registration study for myocardial injury and prognosis of novel coronavirus pneumonia (covid-19)",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50353,no results,2020-03-09,2020-08-03
323,chictr2000030493,chictr,2020-03-04,2020-03-04,renmin hospital of wuhan university,not recruiting,not applicable,observational,china,"survey for sleep,anxiety and depression status of chinese residents during the outbreak of novel coronavirus infected disases (covid-19)",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50547,no results,2020-03-09,2020-03-18
324,chictr2000030480,chictr,2020-03-03,2020-03-03,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,phase 4,interventional,china,"randomized,open,blank controlled trial for the efficacy and safety of recombinant human interferon alpha 1beta in the treatment of wuhan patients with novel coronavirus pneumonia (covid-19)",drug,interferon alfa,http://www.chictr.org.cn/showproj.aspx?proj=50470,no results,2020-03-09,2020-08-03
325,chictr2000030475,chictr,2020-03-03,2020-03-04,chinese academy of medical sciences peking union medical college hospital,not recruiting,not applicable,interventional,china,cytosorb in treating critically ill hospitalized adult patients with novel coronavirus pneumonia (covid-19),other (physical),extracorporeal blood purification ,http://www.chictr.org.cn/showproj.aspx?proj=50452,no results,2020-03-09,2020-08-03
326,chictr2000030464,chictr,2020-03-02,2020-03-03,"the third xiangya hospital,central south university",recruiting,not applicable,epidemiological research,no country given,study for the clinical characteristics of novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50382,no results,2020-03-09,2020-08-03
327,chictr2000030304,chictr,2020-02-28,2020-03-10,the third affiliated hospital of sun yat-sen university,not recruiting,not applicable,observational,china,protective factors of mental resilience in first-line nurses with novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49653,no results,2020-03-09,2020-08-03
328,chictr2000030479,chictr,2020-03-03,2020-02-26,affiliated hospital of traditional chinese and western medicine nanjing university of chinese medicine,not recruiting,not applicable,interventional,china,study for the effectiveness and safety of yi-qi hua-shi jie-du-fang in the treatment of the novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50450,no results,2020-03-09,2020-08-03
329,chictr2000030477,chictr,2020-03-03,2020-03-04,chinese academy of medical sciences peking union medical college hospital,not recruiting,not applicable,interventional,china,oxiris membrane in treating critically ill hospitalized adult patients with novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50458,no results,2020-03-09,2020-08-03
330,chictr2000030163,chictr,2020-02-24,2020-02-25,yueyang hospital of integrated traditional chinese medicine and western medicine affiliated to shanghai university of tranditional medicine,not recruiting,not applicable,observational,china,a medical based retrospective real world study for assessment of effectiveness of comprehensive traditional chinese medicine in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50031,no results,2020-03-09,2020-08-03
331,chictr2000029993,chictr,2020-02-18,2020-02-20,the first affiliated hospital of guangzhou medical university,recruiting,not applicable,interventional,china,a pilot study for integrated chinese and western medicine in the treatment of non-critical novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49435,no results,2020-03-09,2020-08-03
332,chictr2000030256,chictr,2020-02-26,2020-02-01,"daping hospital,army medical university",recruiting,not applicable,epidemiological research,china,"epidemiological and clinical characteristics of covid-19: a large-scale investigation in epicenter wuhan,china",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50078,no results,2020-03-09,2020-08-03
333,chictr2000029550,chictr,2020-02-04,2020-01-29,hospital of chengdu university of traditional chinese medicine,recruiting,not applicable,interventional,china,recommendations for diagnosis and treatment of influenza patients in the hospital of chengdu university of traditional chinese medicine under the raging of novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48775,no results,2020-03-09,2020-03-18
334,chictr2000029982,chictr,2020-02-18,2020-02-18,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,study for using multiomics in the diagnosis and treatment of novel coronavirus pneumonia (covid-19),genomics,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49724,no results,2020-03-09,2020-08-03
335,chictr2000029580,chictr,2020-02-05,2020-01-31,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,"severe novel coronavirus pneumonia (covid-19) patients treated with ruxolitinib in combination with mesenchymal stem cells: a prospective,single blind,randomized controlled clinical trial",drug (+atmp),ruxolimab [+ mesenchymal stem cells],http://www.chictr.org.cn/showproj.aspx?proj=49088,no results,2020-03-09,2020-08-03
336,chictr2000029638,chictr,2020-02-08,2020-02-03,west china hospital of sichuan university,recruiting,not applicable,interventional,china,"a multicenter,randomized,controlled trial for recombinant super-compound interferon (rsifn-co) in the treatment of 2019 novel coronavirus (2019-ncov) infected pneumonia",drug,interferon,http://www.chictr.org.cn/showproj.aspx?proj=49224,no results,2020-03-09,2020-08-03
337,chictr2000029579,chictr,2020-02-05,2020-01-31,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,the investigation of cytokine expression profile of novel coronavirus pneumonia (covid-19) and its clinical significance,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49045,no results,2020-03-09,2020-08-03
338,chictr2000030436,chictr,2020-03-01,2020-03-06,shanghai sixth people's hospital,not recruiting,not applicable,observational,china,application of flash glucose monitoring to evaluate the effect of blood glucose changes on prognosis in patients with novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50297,no results,2020-03-09,2020-08-03
339,chictr2000029958,chictr,2020-02-17,2020-02-17,zhongnan hospital of wuhan university,not recruiting,not applicable,observational,china,a medical records based study for the clinical characteristics of anesthesia novel coronavirus pneumonia (covid-19) patients during perioperative period and assessment of infection and mental health of anesthesiology department,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49635,no results,2020-03-09,2020-08-03
340,chictr2000029549,chictr,2020-02-04,2020-02-03,hospital of chengdu university of traditional chinese medicine,recruiting,not applicable,interventional,china,recommendations of integrated traditional chinese and western medicine for novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49014,no results,2020-03-09,2020-08-03
341,chictr2000029479,chictr,2020-02-02,2020-01-30,hospital of chengdu university of traditional chinese medicine,recruiting,not applicable,interventional,china,research for traditional chinese medicine technology prevention and control of novel coronavirus pneumonia (covid-19) in the community population,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48773,no results,2020-03-09,2020-08-03
342,chictr2000029433,chictr,2020-02-01,2020-02-01,"hebei yiling hospital,renmin hospital of wuhan university",not recruiting,phase 4,interventional,china,"a randomized,open-label,blank-controlled trial for lian-hua qing-wen capsule/granule in the treatment of suspected novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48898,no results,2020-03-09,2020-08-03
343,chictr2000029308,chictr,2020-01-23,2020-01-10,wuhan jinyintan hospital (wuhan infectious diseases hospital),recruiting,not applicable,interventional,china,"a randomized,controlled open-label trial to evaluate the efficacy and safety of lopinavir-ritonavir in hospitalized patients with novel coronavirus pneumonia (covid-19)",drug,lopinavir-ritonavir,http://www.chictr.org.cn/showproj.aspx?proj=48684,no results,2020-03-09,2020-08-03
344,chictr2000029434,chictr,2020-02-01,2020-02-01,"hebei yiling hospital,renmin hospital of wuhan university",recruiting,phase 4,interventional,china,"a randomized,open-label,blank-controlled trial for lian-hua qing-wen capsule /granule in the treatment of novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48889,no results,2020-03-09,2020-03-18
345,nct04288713,clinicaltrials.gov,2020-02-27,2020-03-01,hudson medical,not recruiting,phase 2,expanded access,no country given,eculizumab (soliris) in covid-19 infected patients,drug,eculizumab,https://clinicaltrials.gov/show/nct04288713,no results,2020-03-16,2020-08-03
346,chictr2000029757,chictr,2020-02-12,2020-02-14,china-japan friendship hospital,recruiting,not applicable,interventional,china,convalescent plasma for the treatment of severe and critical novel coronavirus pneumonia (covid-19): a prospective randomized controlled trial,atmp,plasma,http://www.chictr.org.cn/showproj.aspx?proj=49081,no results,2020-03-09,2020-08-03
347,nct04261517,clinicaltrials.gov,2020-02-06,2020-02-06,shanghai public health clinical center,recruiting,phase 3,interventional,china,efficacy and safety of hydroxychloroquine for treatment of pneumonia caused by 2019-ncov ( hc-ncov ),drug,hydroxychloroquine,https://clinicaltrials.gov/show/nct04261517,no results,2020-03-16,2020-08-03
348,nct04252274,clinicaltrials.gov,2020-01-29,2020-01-30,shanghai public health clinical center,recruiting,phase 3,interventional,china,efficacy and safety of darunavir and cobicistat for treatment of pneumonia caused by 2019-ncov,drug,darunavir/cobicistat,https://clinicaltrials.gov/show/nct04252274,no results,2020-03-16,2020-08-03
349,chictr2000030896,chictr,2020-03-16,2020-02-06,zhengzhou people's hospital,recruiting,not applicable,interventional,china,clinical application and theoretical discussion of fu-zheng qing-fei thought in treating non-critical novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=51028,no results,2020-03-16,2020-03-18
350,chictr2000030895,chictr,2020-03-16,2020-03-14,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,phase 1,observational,china,retrospective and prospective study for nosocomial infection in stomatology department under the background of novel coronavirus pneumonia (covid-19) epidemic period,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51034,no results,2020-03-16,2020-03-18
351,chictr2000030894,chictr,2020-03-16,2020-03-01,peking university first hospital,recruiting,phase 4,interventional,china,"favipiravir combined with tocilizumab in the treatment of novel coronavirus pneumonia (covid-19) - a multicenter,randomized,controlled trial",drug,combination: favipiravir + tocilizumab,http://www.chictr.org.cn/showproj.aspx?proj=51126,no results,2020-03-16,2020-03-18
352,chictr2000030893,chictr,2020-03-16,2020-03-19,zhengzhou people's hospital,not recruiting,not applicable,observational,china,study for effects of crisis intervention based on positive psychology for medical staffs working in the novel coronavirus pneumonia (covid-19) field,other (psych),psychological,http://www.chictr.org.cn/showproj.aspx?proj=51073,no results,2020-03-16,2020-03-18
353,chictr2000030863,chictr,2020-03-16,2020-01-22,"jinling hospital,medical school of nanjing university",recruiting,not applicable,observational,china,clinical and ct imaging characteristics of novel coronavirus pneumonia (covid-19): an multicenter cohort study,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50767,no results,2020-03-16,2020-03-18
354,chictr2000030862,chictr,2020-03-16,2020-01-24,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,observational,china,correlation analysis of blood eosinophil cell levels and clinical type category of novel coronavirus pneumonia (covid-19): a medical records based retrospective study,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51107,no results,2020-03-16,2020-03-18
355,chictr2000030861,chictr,2020-03-16,2019-02-27,the first affiliated hospital of the guangzhou medical university,recruiting,not applicable,health services research,no country given,development and application of a new intelligent robot for novel coronavirus (2019-ncov) oropharygeal sampling,other (physical),other,http://www.chictr.org.cn/showproj.aspx?proj=51103,no results,2020-03-16,2020-03-18
356,nct04298814,clinicaltrials.gov,2020-02-26,2020-03-07,tongji hospital,not recruiting,not applicable,observational,no country given,safety related factors of endotracheal intubation in patients with severe covid-19 pneumonia,other (physical),endotracheal intubation,https://clinicaltrials.gov/show/nct04298814,no results,2020-03-16,2020-03-18
357,chictr2000030898,chictr,2020-03-16,2020-01-27,the affiliated hospital to changchun university of traditional chinese medicine,recruiting,not applicable,observational,china,evaluation on the effect of chushifangyi prescription in preventing novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50780,no results,2020-03-16,2020-03-18
358,chictr2000030866,chictr,2020-03-16,2020-02-01,the first hospital of changsha,recruiting,not applicable,observational,china,"open-label,observational study of human umbilical cord derived mesenchymal stem cells in the treatment of severe and critical patients with novel coronavirus pneumonia (covid-19)",atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=50299,no results,2020-03-16,2020-03-18
359,chictr2000030864,chictr,2020-03-16,2020-02-01,xiangyang first people's hospital,recruiting,not applicable,interventional,china,traditional chinese medicine for novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50662,no results,2020-03-16,2020-03-18
360,chictr2000030860,chictr,2020-03-16,2020-03-16,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,a medical records based study for investigation of dynamic profile of rt-pcr test for sars-cov-2 nucleic acid of novel coronavirus pneumonia (covid-19) patients,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51102,no results,2020-03-16,2020-03-18
361,chictr2000030812,chictr,2020-03-15,2020-01-31,shanghai ninth people's hospital,recruiting,not applicable,observational,china,study for the virus molecular evolution which driven the immune-pathological responses and the protection mechanisms of novel coronavirus pneumonia (covid-19) patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50947,no results,2020-03-16,2020-03-18
362,chictr2000030859,chictr,2020-03-16,2020-03-01,wuhan third hospital,not recruiting,not applicable,observational,china,a medical based analysis for influencing factors of death of novel coronavirus pneumonia (covid-19) patients in wuhan third hospital,prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51025,no results,2020-03-16,2020-03-18
363,chictr2000030857,chictr,2020-03-16,2020-03-01,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,clinical study for bronchoscopic alveolar lavage in the treatment of critically trachea intubation patients with new coronavirus pneumonia (covid-19),other (physical),bronchoscopic lavage,http://www.chictr.org.cn/showproj.aspx?proj=51040,no results,2020-03-16,2020-03-18
364,nct04291729,clinicaltrials.gov,2020-02-27,2020-02-17,the ninth hospital of nanchang,recruiting,phase 4,interventional,china,evaluation of ganovo (danoprevir ) combined with ritonavir in the treatment of novel coronavirus infection,drug,danoprevir/ritonavir,https://clinicaltrials.gov/show/nct04291729,no results,2020-03-16,2020-03-18
365,nct04292340,clinicaltrials.gov,2020-02-25,2020-02-01,shanghai public health clinical center,recruiting,phase 2/phase 3,observational,china,anti-sars-cov-2 inactivated convalescent plasma in the treatment of covid-19,atmp,plasma,https://clinicaltrials.gov/show/nct04292340,no results,2020-03-16,2020-03-18
366,nct04293887,clinicaltrials.gov,2020-02-15,2020-03-01,tongji hospital,not recruiting,early phase 1,interventional,no country given,efficacy and safety of ifn-a2ãÿ in the treatment of novel coronavirus patients,drug,interferon alfa,https://clinicaltrials.gov/show/nct04293887,no results,2020-03-16,2020-03-18
367,chictr2000030902,chictr,2020-03-16,2020-02-10,jingzhou mental health center,recruiting,not applicable,observational,china,analysis for the mental health status of residents in jingzhou during the outbreak of the novel coronavirus pneumonia (covid-19) and corresponding influencing factors,oher (psych),no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51130,no results,2020-03-16,2020-03-18
368,nct04290871,clinicaltrials.gov,2020-02-27,2020-03-01,xijing hospital,not recruiting,phase 2,interventional,no country given,nitric oxide gas inhalation for severe acute respiratory syndrome in covid-19.,drug,nitric oxide,https://clinicaltrials.gov/show/nct04290871,no results,2020-03-16,2020-03-18
369,nct04292327,clinicaltrials.gov,2020-02-23,2020-01-01,fujian provincial hospital,not recruiting,phase 2/phase 3,observational,china,clinical progressive characteristics and treatment effects of 2019-novel coronavirus,clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04292327,no results,2020-03-16,2020-03-18
370,nct04295551,clinicaltrials.gov,2020-03-03,2020-03-14,jiangxi qingfeng pharmaceutical co. ltd.,not recruiting,not applicable,interventional,no country given,multicenter clinical study on the efficacy and safety of xiyanping injection in the treatment of new coronavirus infection pneumonia (general and severe),traditional medicine (drug),traditional medicine,https://clinicaltrials.gov/show/nct04295551,no results,2020-03-16,2020-08-03
371,nct04296643,clinicaltrials.gov,2020-03-03,2020-04-01,mcmaster university,not recruiting,not applicable,interventional,no country given,medical masks vs n95 respirators for covid-19,other (device),masks,https://clinicaltrials.gov/show/nct04296643,no results,2020-03-16,2020-03-18
372,chictr2000030810,chictr,2020-03-15,2020-02-23,hubei provincial hospital of integrated chinese and western medicine,recruiting,phase 1,interventional,china,clinical observation and evaluation of traditional chinese medicine in the treatment of novel coronavirus pneumonia (covid-19) in hubei 672 orthopaedics hospital of integrated chinese&western medicine,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50986,no results,2020-03-16,2020-03-18
373,chictr2000030809,chictr,2020-03-15,2020-02-22,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,a medical records based study for clinical outcomes and follow-up of novel coronavirus pneumonia (covid-19) patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51015,no results,2020-03-16,2020-03-18
374,chictr2000030901,chictr,2020-03-16,2020-03-09,the chinese university of hong kong,not recruiting,not applicable,observational,china,retrospective analysis of epidemiology and transmission dynamics of patients confirmed with coronavirus disease (covid-19) in hong kong,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51064,no results,2020-03-16,2020-03-18
375,chictr2000030854,chictr,2020-03-16,2020-01-22,li lanjuan,not recruiting,not applicable,observational,china,"a clinical multicenter study for the occurrence,development and prognosis of novel coronavirus pneumonia (covid-19)",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51083,no results,2020-03-16,2020-03-18
376,chictr2000030855,chictr,2020-03-16,2020-02-01,third affiliated hospital of zunyi medical university,not recruiting,phase 1,interventional,no country given,study for the effect of external diaphragmatic pacing assisted invasive ventilation and weaning in patients with severe novel coronavirus pneumonia (covid-19),other (physical),mechanical ventilation,http://www.chictr.org.cn/showproj.aspx?proj=51090,no results,2020-03-16,2020-03-18
377,chictr2000030850,chictr,2020-03-15,2020-03-15,the first affiliated hospital of guangzhou university of traditional chinese medicine,not recruiting,not applicable,observational,china,study for the physical and mental health status of medical workers under the novel coronavirus pneumonia (covid-19) epidemic,other (psych),no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51056,no results,2020-03-16,2020-03-18
378,chictr2000030853,chictr,2020-03-16,2020-02-01,third affiliated hospital of zunyi medical university,not recruiting,not applicable,interventional,no country given,evaluation of the protective effect of dexmedetomidine on patients with severe novel coronavirus pneumonia (covid-19),drug,dexmedetomidine,http://www.chictr.org.cn/showproj.aspx?proj=51081,no results,2020-03-16,2020-03-18
379,chictr2000030852,chictr,2020-03-16,2020-01-27,"beijing an zhen hospital,capital medical university",not recruiting,not applicable,observational,china,factors associated with death in patients with novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=51077,no results,2020-03-16,2020-03-18
380,nct04299711,clinicaltrials.gov,2020-03-04,2020-10-15,university of macau,not recruiting,not applicable,observational,no country given,mental health and its correlates among chinese adolescents exposed to the novel coronavirus disease 2019,clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04299711,no results,2020-03-16,2020-03-18
381,chictr2000030897,chictr,2020-03-16,2020-02-10,"hwa mei hospital,university of chinese academy of sciences",recruiting,not applicable,interventional,china,evaluation of the effect of taking newgen beta-gluten probiotic composite powder to nutrition intervention of patients with novel coronavirus pneumonia (covid-19),supplement,probiotics,http://www.chictr.org.cn/showproj.aspx?proj=50462,no results,2020-03-16,2020-03-18
382,chictr2000030841,chictr,2020-03-15,2020-02-17,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,exploratory study for immunoglobulin from cured covid-19 patients in the treatment of acute severe novel coronavirus pneuvirus (covid-19),atmp,immunoglobulin,http://www.chictr.org.cn/showproj.aspx?proj=51072,no results,2020-03-16,2020-03-18
383,chictr2000030839,chictr,2020-03-15,2020-03-01,"tongren hospital,shanghai jiao tong university school of medicine",not recruiting,not applicable,screening,china,preliminary screening of novel coronavirus pneumonia (covid-19) by special laboratory examination and ct imaging before surgery,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=50904,no results,2020-03-16,2020-03-18
